P,JaneAnybody,     Jane Alice Anybody,                                          ,                  ,         484678.95
I,JaneAnybody,     Jane Alice Anybody,                                          ,                  ,         384970.00
A,0000000000000001,Social Security Jane Alice Anybody,                          ,                  ,
I,TRowePrice,      T. Rowe Price,                                               ,                  ,          99990.72
A,0000000833570510,Brokerage,                                                   ,                  ,           6950.96
F,PRTXX,           U.S. Treasury Money,                               3102.75000,          1.000000,
F,PREIX,           Equity Index 500,                                    33.08300,        116.320000,
A,0000000741830296,IRA,                                                         ,                  ,          93039.76
F,OTCFX,           Small-Cap Stock,                                    102.67900,         62.350000,
F,RPMGX,           Mid-Cap Growth,                                      47.03100,        102.860000,
F,PREMX,           Emerging Markets Bond,                              616.89500,         10.280000,
F,PRGFX,           Growth Stock,                                        21.78100,         90.140000,
F,PRGMX,           GNMA,                                               757.65800,          8.970000,
F,PRHYX,           High Yield,                                        1042.85400,          6.380000,
F,RPIBX,           International Bond,                                 633.41000,          8.790000,
F,PRIPX,           Inflation Protected Bond,                           249.88200,         12.650000,
F,PRITX,           International Stock,                                120.73600,         18.970000,
F,PRPIX,           Corporate Income,                                   444.72600,          9.160000,
F,PRRXX,           Government Money Market,                           3316.26000,          1.000000,
F,PRSVX,           Small-Cap Value,                                    134.62500,         56.920000,
F,PRTIX,           U.S. Treasury Intermediate Index,                  1160.74400,          5.780000,
F,PRTXX,           U.S. Treasury Money,                               9555.57000,          1.000000,
F,PRWBX,           Short-Term Bond,                                   1087.71000,          4.720000,
F,TRGOX,           Large-Cap Growth,                                   110.89900,         63.150000,
F,TRLUX,           Large-Cap Value,                                    106.72800,         27.990000,
F,TRMCX,           Mid-Cap Value,                                       76.48400,         33.790000,
I,XYZ Cr Union,    XYZ Credit Union,                                            ,                  ,
A,0000006231592710,Checking,                                                    ,                  ,
F,XYZ1,            Checking,                                           518.67000,          1.000000,
A,0000001638472938,Savings,                                                     ,                  ,
F,XYZ2,            Savings,                                            524.13000,          1.000000,
I,BofA,            Bank of America,                                             ,                  ,
A,5137434439329760,Rewards Mastercard,                                          ,                  ,
J,BOFAM,           Rewards Mastercard,                                1324.57000,         -1.000000,
